Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
26-04-2020,Maharashtra,Nashik,131,2,12,0,0
27-04-2020,Maharashtra,Nashik,146,5,12,0,0
28-04-2020,Maharashtra,Nashik,195,6,12,0,0
29-04-2020,Maharashtra,Nashik,195,6,12,0,0
30-04-2020,Maharashtra,Nashik,197,6,12,0,0
01-05-2020,Maharashtra,Nashik,242,6,12,0,0
02-05-2020,Maharashtra,Nashik,262,6,12,0,0
03-05-2020,Maharashtra,Nashik,284,6,12,0,0
04-05-2020,Maharashtra,Nashik,382,6,12,0,0
05-05-2020,Maharashtra,Nashik,409,6,12,0,0
06-05-2020,Maharashtra,Nashik,463,24,12,0,0
07-05-2020,Maharashtra,Nashik,533,24,12,0,0
08-05-2020,Maharashtra,Nashik,557,42,12,0,0
09-05-2020,Maharashtra,Nashik,595,42,20,0,0
10-05-2020,Maharashtra,Nashik,659,47,34,0,0
11-05-2020,Maharashtra,Nashik,696,47,34,0,0
12-05-2020,Maharashtra,Nashik,741,103,34,0,0
13-05-2020,Maharashtra,Nashik,751,126,34,0,0
14-05-2020,Maharashtra,Nashik,807,139,34,0,0
15-05-2020,Maharashtra,Nashik,825,139,34,0,0
16-05-2020,Maharashtra,Nashik,835,265,35,0,0
17-05-2020,Maharashtra,Nashik,851,416,35,0,0
18-05-2020,Maharashtra,Nashik,857,550,35,0,0
19-05-2020,Maharashtra,Nashik,840,638,36,0,7820
20-05-2020,Maharashtra,Nashik,868,639,36,0,7911
21-05-2020,Maharashtra,Nashik,907,641,45,0,8080
22-05-2020,Maharashtra,Nashik,918,641,46,0,9447
23-05-2020,Maharashtra,Nashik,931,669,46,0,9547
24-05-2020,Maharashtra,Nashik,936,718,46,0,9778
25-05-2020,Maharashtra,Nashik,973,722,46,0,10148
26-05-2020,Maharashtra,Nashik,992,728,49,0,10346
27-05-2020,Maharashtra,Nashik,1012,750,52,0,10624
28-05-2020,Maharashtra,Nashik,1043,755,52,0,10887
29-05-2020,Maharashtra,Nashik,1070,818,60,0,11218
30-05-2020,Maharashtra,Nashik,1111,893,60,0,11503
31-05-2020,Maharashtra,Nashik,1135,893,66,0,11503
01-06-2020,Maharashtra,Nashik,1182,893,67,0,11800
02-06-2020,Maharashtra,Nashik,1212,919,68,0,12470
03-06-2020,Maharashtra,Nashik,1235,942,68,0,12664
04-06-2020,Maharashtra,Nashik,1297,942,71,0,12910
05-06-2020,Maharashtra,Nashik,1367,978,81,0,13087
06-06-2020,Maharashtra,Nashik,1412,1012,88,0,13247
07-06-2020,Maharashtra,Nashik,1521,1027,89,0,13466
08-06-2020,Maharashtra,Nashik,1592,1027,91,0,13724
09-06-2020,Maharashtra,Nashik,1660,1094,95,0,13983
10-06-2020,Maharashtra,Nashik,1704,1130,95,0,14139
11-06-2020,Maharashtra,Nashik,1746,1164,100,0,14363
12-06-2020,Maharashtra,Nashik,1785,1164,102,0,14562
13-06-2020,Maharashtra,Nashik,1852,1170,102,0,14849
14-06-2020,Maharashtra,Nashik,1934,1178,105,0,15139
15-06-2020,Maharashtra,Nashik,2006,1214,104,0,15609
16-06-2020,Maharashtra,Nashik,2101,1218,132,0,14089
17-06-2020,Maharashtra,Nashik,2188,1314,134,0,16433
18-06-2020,Maharashtra,Nashik,2306,1368,134,0,16658
19-06-2020,Maharashtra,Nashik,2515,1422,137,0,16953
20-06-2020,Maharashtra,Nashik,2635,1449,145,0,17266
21-06-2020,Maharashtra,Nashik,2762,1526,152,0,17471
22-06-2020,Maharashtra,Nashik,2871,1526,160,0,17767
23-06-2020,Maharashtra,Nashik,2965,1620,179,0,18172
24-06-2020,Maharashtra,Nashik,3104,1720,193,0,18616
25-06-2020,Maharashtra,Nashik,3276,1773,194,0,19077
26-06-2020,Maharashtra,Nashik,3433,1852,205,0,19666
27-06-2020,Maharashtra,Nashik,3703,2007,209,0,19961
28-06-2020,Maharashtra,Nashik,3902,2063,217,0,20405
29-06-2020,Maharashtra,Nashik,4111,2166,218,0,21280
30-06-2020,Maharashtra,Nashik,4226,2232,222,0,21646
01-07-2020,Maharashtra,Nashik,4376,2322,222,0,22188
02-07-2020,Maharashtra,Nashik,4530,2458,222,0,22685
03-07-2020,Maharashtra,Nashik,4656,2616,223,0,23266
04-07-2020,Maharashtra,Nashik,4933,2820,223,0,23815
05-07-2020,Maharashtra,Nashik,5216,2935,225,0,24248
06-07-2020,Maharashtra,Nashik,5478,3159,242,0,24611
07-07-2020,Maharashtra,Nashik,5816,3261,255,0,25116
08-07-2020,Maharashtra,Nashik,6017,3343,260,0,25807
09-07-2020,Maharashtra,Nashik,6233,3435,264,0,26341
10-07-2020,Maharashtra,Nashik,6585,3633,269,0,27008
11-07-2020,Maharashtra,Nashik,6884,3757,282,0,27460
12-07-2020,Maharashtra,Nashik,7080,3847,290,0,28022
13-07-2020,Maharashtra,Nashik,7316,4209,300,0,28528
14-07-2020,Maharashtra,Nashik,7663,4435,306,0,29076
15-07-2020,Maharashtra,Nashik,7932,4575,319,0,30691
16-07-2020,Maharashtra,Nashik,8174,4821,328,0,31897
17-07-2020,Maharashtra,Nashik,8640,4895,353,0,32721
18-07-2020,Maharashtra,Nashik,8968,5085,357,0,33881
19-07-2020,Maharashtra,Nashik,9533,5184,367,0,34777
20-07-2020,Maharashtra,Nashik,9921,5386,369,0,35332
21-07-2020,Maharashtra,Nashik,10255,5658,376,0,36362
22-07-2020,Maharashtra,Nashik,10745,5818,383,0,37099
23-07-2020,Maharashtra,Nashik,11301,6154,398,0,38141
24-07-2020,Maharashtra,Nashik,11740,6478,409,0,38869
25-07-2020,Maharashtra,Nashik,12184,6887,421,0,41941
26-07-2020,Maharashtra,Nashik,12618,6998,426,0,41941
27-07-2020,Maharashtra,Nashik,12882,7299,431,0,42984
28-07-2020,Maharashtra,Nashik,13265,7688,442,0,43464
29-07-2020,Maharashtra,Nashik,13792,7907,447,0,44457
30-07-2020,Maharashtra,Nashik,14295,8483,456,0,51758
31-07-2020,Maharashtra,Nashik,14750,8931,462,0,54550
01-08-2020,Maharashtra,Nashik,15227,9391,475,0,57354
02-08-2020,Maharashtra,Nashik,15617,9587,483,0,60519
03-08-2020,Maharashtra,Nashik,16079,10019,489,0,67233
04-08-2020,Maharashtra,Nashik,16534,10419,498,0,70544
05-08-2020,Maharashtra,Nashik,17239,10888,508,0,72788
06-08-2020,Maharashtra,Nashik,18054,11496,521,0,75117
07-08-2020,Maharashtra,Nashik,18835,11897,547,0,76929
08-08-2020,Maharashtra,Nashik,19625,12455,555,0,79723
09-08-2020,Maharashtra,Nashik,20597,12621,569,0,80462
10-08-2020,Maharashtra,Nashik,20942,12814,573,0,82397
11-08-2020,Maharashtra,Nashik,21445,13408,588,0,86445
12-08-2020,Maharashtra,Nashik,22577,14340,616,0,87211
13-08-2020,Maharashtra,Nashik,23503,15043,631,0,88448
14-08-2020,Maharashtra,Nashik,24444,15791,650,0,94783
15-08-2020,Maharashtra,Nashik,25662,15936,660,0,94783
16-08-2020,Maharashtra,Nashik,26341,16300,668,0,98817
17-08-2020,Maharashtra,Nashik,27151,16593,676,0,101604
18-08-2020,Maharashtra,Nashik,27850,17144,693,0,102976
19-08-2020,Maharashtra,Nashik,28626,17759,699,0,106115
20-08-2020,Maharashtra,Nashik,29687,18402,709,0,109345
21-08-2020,Maharashtra,Nashik,30495,19287,725,0,111752
22-08-2020,Maharashtra,Nashik,31388,20172,737,0,113466
23-08-2020,Maharashtra,Nashik,31864,20448,749,0,115462
24-08-2020,Maharashtra,Nashik,32778,21536,756,0,117549
25-08-2020,Maharashtra,Nashik,33628,22488,764,0,118880
26-08-2020,Maharashtra,Nashik,34615,23098,781,0,120996
27-08-2020,Maharashtra,Nashik,35620,24283,813,0,122982
28-08-2020,Maharashtra,Nashik,36343,25481,842,0,125509
29-08-2020,Maharashtra,Nashik,37503,26347,858,0,126988
30-08-2020,Maharashtra,Nashik,38940,26373,864,0,128404
31-08-2020,Maharashtra,Nashik,39835,27354,867,0,130860
01-09-2020,Maharashtra,Nashik,40429,27936,885,0,132513
02-09-2020,Maharashtra,Nashik,41457,29528,905,0,133925
03-09-2020,Maharashtra,Nashik,42355,31025,920,0,136633
04-09-2020,Maharashtra,Nashik,43291,32825,937,0,140776
05-09-2020,Maharashtra,Nashik,44184,33956,953,0,143327
06-09-2020,Maharashtra,Nashik,45790,34646,962,0,146366
07-09-2020,Maharashtra,Nashik,46392,35750,966,0,149599
